CASE,SD01,SD03,SD17,SD19,SM01,SM04,SM04_01,SM05_01,SM05_02,SM06_01,SM06_02,SM06_03,SM06_04,SM06_05,SM06_06,SM06_07,SE01_01,SE01_02,SE01_03,SE01_04,SE01_05,SE01_06,SE01_07,SE01_08,SE01_09,MISSREL,TIME_RSI,DEG_TIME
111,female,22,3000 € up to 4000 €,Bachelor,Yes,Approx.,5,0,30,Never,Never,Never,Never,Never,Never,Never,Strong disagreement,Slight disagreement,Moderate disagreement,Strong disagreement,Strong disagreement,Strong disagreement,Strong disagreement,Niether agreement nor disagreement,Strong disagreement,0,"1,61",53
112,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"0,67",0
116,female,26,500 € up to 1000 €,Master,Yes,Approx.,100,1,17,Less than once a week,Never,Several times a day,Once a day,2-6 times a week,Never,Never,Slight agreement,Moderate agreement,Slight agreement,Slight agreement,Slight agreement,Slight agreement,Slight agreement,Slight agreement,Slight agreement,0,"0,68",2
117,female,24,2000 € up to 3000 €,Bachelor,Yes,Approx.,20,1,15,Never,Less than once a week,2-6 times a week,Once a week,Once a week,Once a week,Never,Strong disagreement,Strong disagreement,Strong disagreement,Strong disagreement,Strong agreement,Moderate disagreement,Strong disagreement,Strong disagreement,Strong disagreement,0,"2,28",65
118,male,23,1000 € up to 1500 €,High school,Yes,Approx.,59,0,57,Never,Less than once a week,Several times a day,Once a week,2-6 times a week,Less than once a week,Less than once a week,Strong disagreement,Slight agreement,Slight agreement,Slight agreement,Strong agreement,Moderate agreement,Slight agreement,Slight agreement,Slight agreement,0,"1,08",15
120,male,25,500 € up to 1000 €,Bachelor,Yes,I have not visited Instagram today.,,1,0,Several times a day,Several times a day,Several times a day,Several times a day,Several times a day,Once a week,Less than once a week,Strong disagreement,Niether agreement nor disagreement,Strong disagreement,Niether agreement nor disagreement,Strong agreement,Niether agreement nor disagreement,Niether agreement nor disagreement,Slight agreement,Slight agreement,0,"0,98",4
121,male,23,500 € up to 1000 €,High school,Yes,Approx.,20,0,28,Once a day,Once a day,Several times a day,Less than once a week,2-6 times a week,2-6 times a week,Less than once a week,Moderate disagreement,Moderate disagreement,Slight disagreement,Slight agreement,Moderate agreement,Moderate disagreement,Strong disagreement,Slight disagreement,Strong disagreement,0,"1,23",26
122,,,,,Yes,nicht beantwortet,,,,nicht beantwortet,nicht beantwortet,nicht beantwortet,nicht beantwortet,nicht beantwortet,nicht beantwortet,nicht beantwortet,,,,,,,,,,83,"2,67",138
127,male,23,I do not wish to answer,Bachelor,Yes,Approx.,25,1,0,2-6 times a week,2-6 times a week,Several times a day,Less than once a week,Once a day,Never,Less than once a week,Moderate disagreement,Moderate disagreement,Moderate disagreement,Moderate disagreement,Moderate agreement,Moderate disagreement,Moderate disagreement,Strong disagreement,Strong disagreement,0,"1,07",10
129,male,22,less than 250 €,High school,Yes,Approx.,60,2,12,Never,Once a day,Several times a day,Several times a day,Several times a day,Once a day,Less than once a week,Moderate agreement,Strong agreement,Niether agreement nor disagreement,Strong agreement,Strong agreement,Slight agreement,Strong disagreement,Moderate agreement,Niether agreement nor disagreement,0,"0,51",0
130,female,41,3000 € up to 4000 €,Bachelor,Yes,Approx.,50,1,6,Several times a day,Several times a day,Several times a day,Never,Several times a day,Never,Less than once a week,Strong agreement,Strong agreement,Strong agreement,Strong agreement,Slight disagreement,Moderate agreement,Moderate disagreement,Strong agreement,Strong agreement,0,"0,98",3
132,,,,,Yes,,,,,,,,,,,,,,,,,,,,,0,"0,1",0
